"level","taxon","family","scale","b","dbh_max_cm","fit_level","fit_taxon"
"genus","Abarema","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Abelmoschus","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Abies","Pinaceae","0.202261","0.689619","113","genus","Abies"
"genus","Abrophyllum","Rousseaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Abuta","Menispermaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Acacia","Fabaceae","0.743917","0.532006","59.7","genus","Acacia"
"genus","Acalypha","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Acer","Sapindaceae","0.474244","0.592329","140","genus","Acer"
"genus","Aceratium","Elaeocarpaceae","0.303363","0.67034","124.7","family","Elaeocarpaceae"
"genus","Achatocarpus","Achatocarpaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Acronychia","Rutaceae","0.306295","0.603061","83.5","genus","Acronychia"
"genus","Actephila","Phyllanthaceae","0.257811","0.775491","111.5","family","Phyllanthaceae"
"genus","Actinodaphne","Lauraceae","0.307172","0.608885","61","genus","Actinodaphne"
"genus","Adelia","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Adenanthera","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Adenocalymma","Bignoniaceae","0.280322","0.718885","137.3","family","Bignoniaceae"
"genus","Adina","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Adinandra","Pentaphylacaceae","0.274207","0.657218","112","genus","Adinandra"
"genus","Aegiphila","Lamiaceae","0.344655","0.61105","77.5","family","Lamiaceae"
"genus","Aegle","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Aeschynomene","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Aesculus","Sapindaceae","0.402324","0.640163","141.2","family","Sapindaceae"
"genus","Afrostyrax","Huaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Afzelia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Agarista","Ericaceae","0.312028","0.678492","149","genus","Agarista"
"genus","Agathis","Araucariaceae","0.228162","0.708135","770","division","Gymnosperm"
"genus","Aglaia","Meliaceae","0.432118","0.549654","71.5","genus","Aglaia"
"genus","Agonandra","Opiliaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Agrostistachys","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Ahernia","Salicaceae","0.362303","0.615443","103.5","family","Salicaceae"
"genus","Aidia","Rubiaceae","0.299392","0.719056","32","genus","Aidia"
"genus","Ailanthus","Simaroubaceae","0.386634","0.616087","78.9","family","Simaroubaceae"
"genus","Alangium","Cornaceae","0.48242","0.456566","55","genus","Alangium"
"genus","Albizia","Fabaceae","0.232417","0.807508","144.4","genus","Albizia"
"genus","Alchornea","Euphorbiaceae","0.277413","0.791441","75.3","genus","Alchornea"
"genus","Alectryon","Sapindaceae","0.402324","0.640163","141.2","family","Sapindaceae"
"genus","Aleurites","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Alexa","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Alibertia","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Allanblackia","Clusiaceae","0.338095","0.675771","77.4","family","Clusiaceae"
"genus","Allantoma","Lecythidaceae","0.438676","0.596827","186.2","family","Lecythidaceae"
"genus","Allocasuarina","Casuarinaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Allomorphia","Melastomataceae","0.510018","0.547054","49.7","family","Melastomataceae"
"genus","Allophylus","Sapindaceae","0.463079","0.618368","70.1","genus","Allophylus"
"genus","Alloxylon","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Alluaudia","Didiereaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Alniphyllum","Styracaceae","0.348465","0.562118","75.5","genus","Alniphyllum"
"genus","Alnus","Betulaceae","0.586568","0.50436","81","genus","Alnus"
"genus","Alphitonia","Rhamnaceae","0.628407","0.52228","55.4","family","Rhamnaceae"
"genus","Alphonsea","Annonaceae","0.405113","0.484809","32.6","genus","Alphonsea"
"genus","Alseis","Rubiaceae","0.321139","0.648296","91.1","genus","Alseis"
"genus","Alseodaphne","Lauraceae","0.225507","0.696244","47.2","genus","Alseodaphne"
"genus","Alstonia","Apocynaceae","0.266984","0.69329","130","genus","Alstonia"
"genus","Alternanthera","Amaranthaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Altingia","Altingiaceae","0.288878","0.599167","72.3","genus","Altingia"
"genus","Alvaradoa","Picramniaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Alzatea","Alzateaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Amaioua","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Ambelania","Apocynaceae","0.329077","0.659122","186.2","family","Apocynaceae"
"genus","Amblygonocarpus","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Amburana","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Amelanchier","Rosaceae","0.439641","0.553616","100","family","Rosaceae"
"genus","Amesiodendron","Sapindaceae","0.285963","0.631538","33.8","genus","Amesiodendron"
"genus","Ampelocera","Ulmaceae","0.608196","0.662958","63.7","genus","Ampelocera"
"genus","Amphimas","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Amphipterygium","Anacardiaceae","0.312881","0.679159","197.5","family","Anacardiaceae"
"genus","Amyris","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Anacardium","Anacardiaceae","0.099368","0.958533","197.5","genus","Anacardium"
"genus","Anacolosa","Olacaceae","0.50961","0.592203","103","family","Olacaceae"
"genus","Anaxagorea","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Andira","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Angophora","Myrtaceae","0.370999","0.569338","385","family","Myrtaceae"
"genus","Angylocalyx","Fabaceae","0.232117","0.797567","70.2","genus","Angylocalyx"
"genus","Aniba","Lauraceae","0.495826","0.494061","195","family","Lauraceae"
"genus","Anisophyllea","Anisophylleaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Anisoptera","Dipterocarpaceae","0.223378","0.774201","212","family","Dipterocarpaceae"
"genus","Anneslea","Pentaphylacaceae","0.337754","0.572801","112","family","Pentaphylacaceae"
"genus","Annickia","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Annona","Annonaceae","0.516802","0.630052","35.7","genus","Annona"
"genus","Anogeissus","Combretaceae","0.352803","0.687025","191","family","Combretaceae"
"genus","Anonidium","Annonaceae","0.263405","0.738719","66.6","genus","Anonidium"
"genus","Anopyxis","Rhizophoraceae","0.386698","0.68497","113.4","family","Rhizophoraceae"
"genus","Anthocarpa","Meliaceae","0.470551","0.57892","280.3","family","Meliaceae"
"genus","Anthocleista","Gentianaceae","0.317061","0.676834","66.2","family","Gentianaceae"
"genus","Anthodiscus","Caryocaraceae","0.530185","0.591919","164","family","Caryocaraceae"
"genus","Anthonotha","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Anthostema","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Antiaris","Moraceae","0.34763","0.654914","217.7","family","Moraceae"
"genus","Antidesma","Phyllanthaceae","0.503707","0.490227","41.5","genus","Antidesma"
"genus","Antirhea","Rubiaceae","0.35401","0.532748","24.4","genus","Antirhea"
"genus","Antrocaryon","Anacardiaceae","0.312881","0.679159","197.5","family","Anacardiaceae"
"genus","Aoranthe","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Apeiba","Malvaceae","0.379566","0.65228","114.3","genus","Apeiba"
"genus","Aphanamixis","Meliaceae","0.488135","0.408543","25","genus","Aphanamixis"
"genus","Aphananthe","Cannabaceae","0.298359","0.681664","180","family","Cannabaceae"
"genus","Aphelandra","Acanthaceae","0.323693","0.590213","103.3","family","Acanthaceae"
"genus","Aphloia","Aphloiaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Apodytes","Metteniusaceae","0.333547","0.553","38.2","genus","Apodytes"
"genus","Apoplanesia","Fabaceae","0.498949","0.58209","30.2","genus","Apoplanesia"
"genus","Aporosa","Phyllanthaceae","0.386468","0.504946","60.8","genus","Aporosa"
"genus","Apuleia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Aquilaria","Thymelaeaceae","0.283913","0.673537","26.6","genus","Aquilaria"
"genus","Aralia","Araliaceae","0.221779","0.730318","138.1","family","Araliaceae"
"genus","Araucaria","Araucariaceae","0.228162","0.708135","770","division","Gymnosperm"
"genus","Arbutus","Ericaceae","0.570745","0.4646","149","family","Ericaceae"
"genus","Archidendron","Fabaceae","0.235271","0.811018","83.6","genus","Archidendron"
"genus","Arctostaphylos","Ericaceae","0.570745","0.4646","149","family","Ericaceae"
"genus","Ardisia","Primulaceae","0.458801","0.387489","65.5","genus","Ardisia"
"genus","Areca","Arecaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Argyrodendron","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Aristotelia","Elaeocarpaceae","0.303363","0.67034","124.7","family","Elaeocarpaceae"
"genus","Artabotrys","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Artemisia","Asteraceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Artocarpus","Moraceae","0.323382","0.609864","53","genus","Artocarpus"
"genus","Arytera","Sapindaceae","0.223559","0.746868","31","genus","Arytera"
"genus","Asimina","Annonaceae","0.485385","0.567258","126","family","Annonaceae"
"genus","Aspidosperma","Apocynaceae","0.430772","0.584785","178.9","genus","Aspidosperma"
"genus","Astrocasia","Phyllanthaceae","0.257811","0.775491","111.5","family","Phyllanthaceae"
"genus","Astronium","Anacardiaceae","0.284375","0.712476","110.5","genus","Astronium"
"genus","Atalantia","Rutaceae","0.336044","0.604387","120","family","Rutaceae"
"genus","Atalaya","Sapindaceae","0.402324","0.640163","141.2","family","Sapindaceae"
"genus","Atherosperma","Atherospermataceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Atractocarpus","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Attilaea","Anacardiaceae","0.312881","0.679159","197.5","family","Anacardiaceae"
"genus","Atuna","Chrysobalanaceae","0.490113","0.601551","99.9","family","Chrysobalanaceae"
"genus","Aubrevillea","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Aucoumea","Burseraceae","0.263503","0.716147","150.6","family","Burseraceae"
"genus","Aulacocalyx","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Auranticarpa","Pittosporaceae","0.206113","0.848246","27.6","family","Pittosporaceae"
"genus","Austrobuxus","Picrodendraceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Austromuellera","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Austrosteenisia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Autranella","Sapotaceae","0.412551","0.592546","180","family","Sapotaceae"
"genus","Avicennia","Acanthaceae","0.319725","0.594082","103.3","genus","Avicennia"
"genus","Axinaea","Melastomataceae","0.510018","0.547054","49.7","family","Melastomataceae"
"genus","Azadirachta","Meliaceae","0.470551","0.57892","280.3","family","Meliaceae"
"genus","Azanza","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Baccaurea","Phyllanthaceae","0.455221","0.569962","44.6","genus","Baccaurea"
"genus","Backhousia","Myrtaceae","0.370999","0.569338","385","family","Myrtaceae"
"genus","Bagassa","Moraceae","0.34763","0.654914","217.7","family","Moraceae"
"genus","Baikiaea","Fabaceae","0.167783","0.921436","58.9","genus","Baikiaea"
"genus","Baillonella","Sapotaceae","0.412551","0.592546","180","family","Sapotaceae"
"genus","Bakeridesia","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Balanites","Zygophyllaceae","0.155365","0.83856","170.8","genus","Balanites"
"genus","Balanops","Balanopaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Baloghia","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Banara","Salicaceae","0.362303","0.615443","103.5","family","Salicaceae"
"genus","Banksia","Proteaceae","0.237798","0.80052","88","family","Proteaceae"
"genus","Baphia","Fabaceae","0.392333","0.683359","45.6","genus","Baphia"
"genus","Barnebydendron","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Barongia","Myrtaceae","0.370999","0.569338","385","family","Myrtaceae"
"genus","Barringtonia","Lecythidaceae","0.495737","0.522473","71.3","genus","Barringtonia"
"genus","Barteria","Passifloraceae","0.479259","0.588435","34","family","Passifloraceae"
"genus","Batesia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Bauhinia","Fabaceae","0.41163","0.647356","52.4","genus","Bauhinia"
"genus","Beaucarnea","Asparagaceae","0.381198","0.566072","82.2","family","Asparagaceae"
"genus","Beccariella","Sapotaceae","0.412551","0.592546","180","family","Sapotaceae"
"genus","Bedfordia","Asteraceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Beilschmiedia","Lauraceae","0.316479","0.670295","104.5","genus","Beilschmiedia"
"genus","Bejaria","Ericaceae","0.570745","0.4646","149","family","Ericaceae"
"genus","Bellucia","Melastomataceae","0.510018","0.547054","49.7","family","Melastomataceae"
"genus","Benkara","Rubiaceae","0.418989","0.548977","112","family","Rubiaceae"
"genus","Berberis","Berberidaceae","0.347503","0.646075","385","division","Angiosperm"
"genus","Berlinia","Fabaceae","0.35056","0.703454","246.4","family","Fabaceae"
"genus","Bernardia","Euphorbiaceae","0.345755","0.614096","117","family","Euphorbiaceae"
"genus","Bernoullia","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Berrya","Malvaceae","0.33858","0.656564","247.7","family","Malvaceae"
"genus","Bersama","Francoaceae","0.347503","0.646075","385","division","Angiosperm"
